,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
1035,Keletso Kels Sitsula,"Mascom Mascom Mascom! ke kopa le nkhetshe hela mo basic mode, I was using wifi the whole day maitseboa yaana ha kere ke dirisa data yame le nngata ka basic mode, nkhetsheng hela mo basic mode please!",45,46,Nna kare ke nna hela,Nna sale ke ikuela last week ba ganne go nkitsha e ile le sub ya teng tloga e fela
1036,Olefile Letsholo,"KFC game city kindly take stock of yourselves. Service sucks these days. It was the third time i went there, same story. The cashier is quick, orders pile up and food is too slow to be served. Manager kindly check your cameras from 1430hrs yesterday when i paid for my meal and how many customers after and before that filled up the shop waiting for meals that were super slow to come out. A fiasco ensued when everybody started shouting. Ba botse a ke a yaka ba neng ba theogetse…See more",12,11,Owaii bao ba ntse hela jalo nna ke ba baketse,La bo 'trii' ngwanaka 
1037,Sunflowerbae Stella Steizo,I been meaning to name an praise  Rosemary shes a cashier at  spur at mafenyatlala  mall   that lady shes very humble  patient an sweet ...thank you nana may God promote you an bless you,26,,,
1038,Keba Bokha,"Hello guys kana I have long ordered paid for and purchased an ice cream machine from a company called Kadzon Stores through their agents tsa bone ko Mogoditshane they had offices there. Up to date, machine ga wa tla.Refund ea pala.Company agent I gave money to ga a sa bereka for it cos of health they say, I've been given an international number ya company owner I believe.. His stories and promises are endless. If anyone has bought from them  tlhe I need help. Yo santse ale pa…See more",13,8,"Report them,santse o emetseng","Ke lwala BP because of this people,wena go raa re a tshwana we paid ko go Lerato mmogo....Monna yole o ta go bolella network nywe nywe Nna mme ame madi ba ta thwaahalla ba a nnela....The remaining company agent doesn't even respond to my texts "
1039,Kabak Kay,Di trolley tsaSPAR BotswanaSerowe main mallWhat is this?,59,24,"Atleast go nale ditrolley, choppies ya kasane re tsana redi sikere ka matsogo ",Manager wa that Serowe Spar  goraya gore le ene ke lesutha!
1040,Moore Faya,"Dear Commissioner of Police.... May you kindly ask The  Parliament to include a warehouse in NDP 12. Your Police Stations and the ""CID South"" at the Kaunda Road/ Independence Avenue corner are an eyesore due to the decaying motor vehicles... Cars are gathering dust and doing injustice to the City aesthetics... Please! Ka bikokobets",5,1,"Those CID South premises have been in that state for over 50 years o kare ga le bone, mme banna le basadi ba ba skono skono ba theogela tsatsi lele tsatsi.",
1041,Gopolang Otsetswe,Mo ke moleko just bought these curved pasta at Sefalana Hypergatwe re dire jang what happened to value for money a rona re tika masogo ka one nowadays.,40,62,Maloba Dolly o buile gr go bata  ntse re ja pasta from woolworths.....fattis  ya palelwa nowadays...kana bona gr a packet  yeo ke foti pula...wollies u buy 2....and never a phoka lehulo mo pitseng o a apeile...,Nyaa it's clear these shells are damaged from yhe pack. Return them.
1042,Mooketsi Masukwa Tshimologo,Orangeya re sokodisa waitse...sale ba tsaya madi ame ka di 26 June ka ba leletsa bare a tla buwa in 3 working days till today fa ke letsa gompieno bare ke tla bona bona thuso after di holiday....then i requested go fiwa number ya ko HR fa ke e leletsa they drop my calls....,3,,,
1043,Sarafina Asmar Gabatshwane,DearOrangeHow can you guys withdraw money from a person's account then claim that you've been busy doing so ka dilo tsa KYC le mover madi a batho ba bangwe? How are you then not able to reimburse the money with 24hrs because it is your fault? Imagine le ntsha P2700.00 from the account and you say it's a mistake that you can't rectify now but rather after the holidays.,58,30,Owaiiii ithoboge tsala eseng bao,
1044,Lindelani O. Rantaba,"Gone mme what is Consumer Watchdog saying about how BTC is treating us? I bought my router beginning of May and completed KYC before leaving the shop, ke hakgamala e kgaolwa last week, went back to them they corrected the mistake after 3 days and it went off again this week(Tuesday), i have to buy bundles even though I'm KYC compliant and I've subscribed. Tota mogo nna P560 omo ntsi tota. Nkase tsewe jaana. Nobody deserve this!",51,45,This KYC thing comes as an advantage to these networks.....customers are losing money left right and centre ,BTCL is a failed project. I'm surprised there are people who still believe in their services let along buy the shares.
1045,Thato Christ Jones,,13,3,"Orange, your network has been poor and unstable this week in Gaborone, Molepolole, and surrounding areas. We are not getting value for our money. Please address this issue urgently.","Orange, your network has been poor and unstable this week in Gaborone, Molepolole, and surrounding areas. We are not getting value for our money. Please address this issue urgently."
1046,Thusi Keokweeng,"Orange ke sale ke kopa go tsenyediwa airtime ka March e kgobogile dinomore le jaana Ga ke ise ke bone thuso..Orange, Lo thusa Jang ne..Ba ne ba re ke ka bona thuso ko Orange shop still Ga kea thusiwa..Why?",,,,
1047,Charity Lebza Diphatse,"Dumelang bathong...are bueng ka di huggies tsena ,ngwana wa koloba makaka a tswa ke gore go tshwana fela o sa tsete ngwana..ntse ke dirisa tsa clicks jaanon ke fitlhela di fedile..ke direkile ko clicks ya lobatse",16,66,Dirisang clicks brand,"Huggies e botoka ke Gold, dry comfort ke maaka fela"
1048,Daniel Ntlole,"Botswana Telecommunications Corporation - BTCke tswa ko your Jwaneng office la bo 3 in a week ntse lore KYC, How many times does one have to do it?? Wednesday was there still ke bapisitse router, are you going to compensate for the days o didn't use it while I paid ??? So reja Holidays without internet",26,45,"Botswana Telecommunications Corporation - BTC you are the worst in customer service. How many times are we gonna come to your offices about this KYC.? You now want us to update our information over the phone , how well are you gonna do that if you didn… See more",Kante mme gone why o kare routers tsa BTC di tlaa re sotla nowadays
1049,Waone Mos,"Thank youBBS Bankfor the quick, friendly and swift response to my complaint. I have been helped accordingly.I appreciate.",4,4,O thusitswe eng comrade gongwe le rona re ka thusega,
1050,Anneline Singh Puskas,"Biggest gratitude and admiration for Oahile Mpoifang and Winnie Keorapetse at Orange Botswana Riverwalk. What many orange employees couldn't do with regards to unblocking my number,  Oahile managed to do, with a smile on his face. These two have  excellent customer service.I am so happy. All my frustration has subsided the moment they assured me that it is all going to be OK. God bless these peopleGo to Orange Riverwalk. You won't be disappointed.",374,87,Ntse ekare couple. Ba a tshwana. A ba nyalane. Dinko tse di a tshwana bathong. Kana ke masika??,
1051,Neltha Miz T Nkopane,Someone please explain what consumer law says concerning this!,29,18,"It is not tax evasion. It is true that on every swiped transaction, the banks charge the seller a ""commission"" on the sales value. So the shop is trying to make sure they do not lose money on the deal. People on this forum should slow down on accusing … See more",This reeks of tax evasion! 
1052,Matshidiso Nunu Matlapeng,"Sprint Couriers please give your delivery drivers airtime and phone, and your customer service managers should work over lunch hour so we can complain to them personally and not be forced to air your bad service online.",15,7,Nna ba ntenne maloba ko Bobonong driver a re ga a itse Matshekge Senior re te re tsee parcel ko ofising,Gape ba letse before ba tla go dropa dilwana cos bare gaba swipe tlaabo ba boa ka dilwana
1053,Thuso Molete,,26,11,BTC le Mascom mosola wa gore re dire KYC le bo le re kgaola otswa kae?,"Hello Thuso Molete, we sincerely apologize for your experience and inconvenience caused. Kindly inbox us your details for further investigation and assistance. Thank you"
1054,Richard Harriman,,33,,,
1055,Billy Sekgororoane,Could those with knowledge help me here.,3,4,Bad idea.,
1056,Adam Bekezela Avon Sibiya,Who wants to join me today to go toBotswana Telecommunications Corporation - BTCheadquarters I won't leave their office until my router is connected. Nothing is said they are sitting comfortable in their offices while we suffer. I have missed online lessons due to this rubbish of them failing us,38,42,Mine just got activated now....what a relief.,Ha o bone nako o fete ka NASHUA you will never regret
1057,Jose Mesh,I js came here to thank orange money for the improvement they did on international transactions... we have been sending money outside county not showing names of reciepent... now take another step orange money... include reversal option..,14,10,Nna ke palelwa ke go romelela ko Zambia,Orange is super expensive 
1058,Katlarelo Same Basinoko,"Dumelang mo groupungBathong,a month ago my little sister went to laybuy a pair of grasshoppers in Seanmac Sports and Gym mo Mahalapye for ngwana only for us to change re akanya gore she needs a backpack first. She went back to the shop to cancel the laybuy and purchase the backpack only to be told gore she cannot do that a tlhwaahalle go golla grasshopper. Ha godimo ga moo she will only change that grasshopper with another shoe and nothing else. Ke kopa thuso with your exp…See more",17,19,"Ba go nyaditse tota darling,,boela gape teng gongwe ne ba na le stress",Gona le shop gatwe Seema e dira hela jalo
1059,Tshepo Mems Lekuta,A re phuaganyengBotswana Telecommunications Corporation - BTC.Tell me why i did KYC ya router many times and i am still not connected.,30,25,Botswana Telecommunications Corporation - BTC le kgaotse my simcard but you sent me a notification gore kyc e shap so ke ipotsa gore why lo dira yaalo.. but don't make any mistake la kgoma madi a mo smega,Nna tsatsi jeno ke findile out something new go raya gore my kyc failed verification because nne ba thataganya information not updating
1060,Chris Oahile,"Btc faults! Btc helpline!Last month I submitted all required documents.Btc cut my phone line Wednesday.On enquiring, I discovered they had typed my omang ID incorrectly.I then resubmitted another certified Soft copy  by email to kyc email and helpline email. …See more",6,18,Kgwedi e Kare BTC e tla  a tenekwa thata,
1061,Rrago Tetelo Buang,morning yesterday around lunch time I called BPC to informing them that I been losing my electric appliances such as stoveand play station for my kids and recently my laptop so this morning they came to check and realised that they been supplying me with 258 volts instead of 250 volts. m volts e don't they have to compensate me,50,22,"They must first give you a detailed written report. Wena get quotes then an affidavit, attach them on a complaint letter to them",They compensate write a detailed incident report and goods value o boo isa ko go bone
1062,Phanie Molapo,Richard help here my brother was send to buy roof tile from Builders Mart Molepolole  he bought the wrong one they a refusing to return them plis help,5,2,Return not change them for the right ones?,
1063,Thabiso Masilo,,4,19,Am I the only one who did kyc (April) for BTC simcard and yet locked out of the network? ,Am I the only one who did kyc (April) for BTC simcard and yet locked out of the network? 
1064,Ramoduba Moreri,Botswana Telecommunications Corporation - BTCMinistry of Trade and Industry Botswana,11,17,"A comma, something, anything?",Ke stress hela motho wa modimo and they are not serious I wish them to lose massive customers and I'm one of them. I'm going to stop my contract with them tomorrow morning.
1065,Maja Ngolila,Should government offices close at lunchtime? To me its outdated. The same govt is advocating for mindset change. This should be the starting point NOW NOW,21,8,No business should be closed for lunch in 2024.,"Ha ne ore all sectors nkabo go utwala, not just government employees"
1066,Naomi Chabongwa,,23,26,"Please kindly talk to BTC to help us with their internet, this is now getting out of control","Please kindly talk to BTC to help us with their internet, this is now getting out of control"
